 1 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.94
 1 threads :       10 trials ; probability =  40.00% ; megatrials/sec =   6.22
 1 threads :      100 trials ; probability =  29.00% ; megatrials/sec =  14.74
 1 threads :     1000 trials ; probability =  32.10% ; megatrials/sec =  10.34
 1 threads :    10000 trials ; probability =  28.77% ; megatrials/sec =  15.22
 1 threads :   100000 trials ; probability =  28.83% ; megatrials/sec =  15.32
 1 threads :   500000 trials ; probability =  29.16% ; megatrials/sec =  15.21
 1 threads :  1000000 trials ; probability =  29.17% ; megatrials/sec =  15.21
 2 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.54
 2 threads :       10 trials ; probability =  10.00% ; megatrials/sec =   3.66
 2 threads :      100 trials ; probability =  20.00% ; megatrials/sec =  10.90
 2 threads :     1000 trials ; probability =  28.10% ; megatrials/sec =  18.60
 2 threads :    10000 trials ; probability =  29.38% ; megatrials/sec =  15.09
 2 threads :   100000 trials ; probability =  28.93% ; megatrials/sec =  30.36
 2 threads :   500000 trials ; probability =  29.15% ; megatrials/sec =  30.17
 2 threads :  1000000 trials ; probability =  29.10% ; megatrials/sec =  18.60
 4 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.29
 4 threads :       10 trials ; probability =  50.00% ; megatrials/sec =   2.91
 4 threads :      100 trials ; probability =  38.00% ; megatrials/sec =  16.91
 4 threads :     1000 trials ; probability =  27.20% ; megatrials/sec =  23.23
 4 threads :    10000 trials ; probability =  28.97% ; megatrials/sec =  32.98
 4 threads :   100000 trials ; probability =  29.26% ; megatrials/sec =  32.93
 4 threads :   500000 trials ; probability =  29.13% ; megatrials/sec =  33.00
 4 threads :  1000000 trials ; probability =  29.05% ; megatrials/sec =  59.75
 8 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.39
 8 threads :       10 trials ; probability =  20.00% ; megatrials/sec =   3.86
 8 threads :      100 trials ; probability =  23.00% ; megatrials/sec =  23.27
 8 threads :     1000 trials ; probability =  31.10% ; megatrials/sec =  66.50
 8 threads :    10000 trials ; probability =  28.72% ; megatrials/sec =  80.72
 8 threads :   100000 trials ; probability =  28.96% ; megatrials/sec =  51.53
 8 threads :   500000 trials ; probability =  28.98% ; megatrials/sec = 120.52
 8 threads :  1000000 trials ; probability =  29.15% ; megatrials/sec = 120.71
12 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.26
12 threads :       10 trials ; probability =  10.00% ; megatrials/sec =   3.27
12 threads :      100 trials ; probability =  27.00% ; megatrials/sec =  27.53
12 threads :     1000 trials ; probability =  28.60% ; megatrials/sec =  89.32
12 threads :    10000 trials ; probability =  29.14% ; megatrials/sec = 117.36
12 threads :   100000 trials ; probability =  29.09% ; megatrials/sec = 121.07
12 threads :   500000 trials ; probability =  29.07% ; megatrials/sec = 119.66
12 threads :  1000000 trials ; probability =  29.07% ; megatrials/sec = 119.74
16 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.25
16 threads :       10 trials ; probability =  10.00% ; megatrials/sec =   2.07
16 threads :      100 trials ; probability =  29.00% ; megatrials/sec =  21.86
16 threads :     1000 trials ; probability =  29.50% ; megatrials/sec =  98.55
16 threads :    10000 trials ; probability =  28.63% ; megatrials/sec = 152.59
16 threads :   100000 trials ; probability =  29.00% ; megatrials/sec = 159.85
16 threads :   500000 trials ; probability =  28.97% ; megatrials/sec = 155.47
16 threads :  1000000 trials ; probability =  29.05% ; megatrials/sec = 159.67
20 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.00
20 threads :       10 trials ; probability =  50.00% ; megatrials/sec =   1.82
20 threads :      100 trials ; probability =  34.00% ; megatrials/sec =  14.86
20 threads :     1000 trials ; probability =  29.90% ; megatrials/sec =  98.08
20 threads :    10000 trials ; probability =  28.50% ; megatrials/sec = 187.55
20 threads :   100000 trials ; probability =  28.95% ; megatrials/sec = 200.66
20 threads :   500000 trials ; probability =  29.06% ; megatrials/sec =  88.39
20 threads :  1000000 trials ; probability =  29.08% ; megatrials/sec = 196.85
24 threads :        1 trials ; probability = 100.00% ; megatrials/sec =   0.00
24 threads :       10 trials ; probability =  60.00% ; megatrials/sec =   0.00
24 threads :      100 trials ; probability =  25.00% ; megatrials/sec =   0.03
24 threads :     1000 trials ; probability =  28.60% ; megatrials/sec =   0.59
24 threads :    10000 trials ; probability =  29.08% ; megatrials/sec =   2.94
24 threads :   100000 trials ; probability =  29.29% ; megatrials/sec =  23.95
24 threads :   500000 trials ; probability =  29.07% ; megatrials/sec =  47.73
24 threads :  1000000 trials ; probability =  29.09% ; megatrials/sec =  64.16
32 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.02
32 threads :       10 trials ; probability =  20.00% ; megatrials/sec =   0.15
32 threads :      100 trials ; probability =  27.00% ; megatrials/sec =   2.22
32 threads :     1000 trials ; probability =  28.20% ; megatrials/sec =  18.78
32 threads :    10000 trials ; probability =  29.52% ; megatrials/sec =  78.64
32 threads :   100000 trials ; probability =  29.10% ; megatrials/sec = 109.14
32 threads :   500000 trials ; probability =  29.08% ; megatrials/sec = 155.79
32 threads :  1000000 trials ; probability =  29.10% ; megatrials/sec = 170.74
